X1 transaction date_1_1,X1 transaction date_2_1,X1 transaction date_3_1,X2 house age_1_1,X2 house age_2_1,X2 house age_3_1,X3 distance to the nearest MRT station_1_1,X3 distance to the nearest MRT station_2_1,X3 distance to the nearest MRT station_3_1,X4 number of convenience stores_1_1,X4 number of convenience stores_2_1,X4 number of convenience stores_3_1,X5 latitude_1_1,X5 latitude_2_1,X5 latitude_3_1,X6 longitude_1_1,X6 longitude_2_1,X6 longitude_3_1,Y house price of unit area
yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,37.9
yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,42.2
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,47.3
no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,32.1
no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,40.3
no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,18.8
no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,22.1
yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,41.4
no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,58.1
yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,39.3
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,34.3
no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,50.5
no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,70.1
no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,37.4
no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,42.3
no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,47.7
no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,51.6
yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,47.9
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,38.8
yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,27.0
no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,56.2
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,47.0
yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,57.1
no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,22.1
no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,34.2
no,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,49.3
no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,55.1
no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,27.3
yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,22.9
no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,25.3
no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,47.7
yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,15.9
no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,18.2
no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,34.7
no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,34.1
no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,53.9
yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,38.3
no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,42.0
no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,13.4
no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,13.2
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,44.2
yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,20.7
no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,27.0
yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,38.9
yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,51.7
yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,53.5
yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,42.4
no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,63.2
no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,55.0
no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,25.3
no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,44.3
yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,50.7
no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,56.8
no,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,36.2
no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,42.0
no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,59.0
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,40.8
no,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,36.3
no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,20.0
yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,54.4
no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,29.5
no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,36.8
no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,25.6
yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,29.8
yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,26.5
yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,36.8
yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,17.7
yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,43.7
no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,50.8
yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,48.0
no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,25.3
no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,45.4
no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,43.2
yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,21.8
yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,16.1
yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,51.8
no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,59.5
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,51.0
no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,62.2
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,38.2
no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,32.9
yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,54.4
no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,45.7
no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,30.5
no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,71.0
no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,26.6
no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,34.1
no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,28.4
yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,51.6
no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,39.4
no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,53.3
yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,46.4
yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,12.2
yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,13.0
no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,30.6
no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,48.0
no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,45.5
yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,57.4
no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,48.6
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,62.9
no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,55.0
no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,41.0
no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,37.5
no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,30.7
no,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,37.5
no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,47.4
no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,43.5
no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,42.5
no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,51.4
no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,28.9
no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,37.5
no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,40.1
yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,28.4
yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,45.5
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,52.2
no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,43.2
no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,45.1
no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,39.7
no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,48.5
no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,28.9
no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,15.6
no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,35.6
yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,39.4
no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,37.4
yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,57.8
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,39.6
no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,11.6
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,55.2
yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,30.6
no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,73.6
no,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,43.4
yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,37.4
no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,23.5
yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,58.8
no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,58.1
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,35.1
no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,45.2
yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,36.5
no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,19.2
yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,42.0
no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,55.9
no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,18.8
no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,25.7
yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,22.0
yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,44.3
yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,20.5
no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,42.3
no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,37.8
no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,42.7
no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,49.3
no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,34.6
yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,36.6
no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,48.2
yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,39.1
no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,31.6
no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,25.5
no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,45.9
yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,31.5
no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,46.1
yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,26.6
yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,21.4
